imdb_id,budget
tt10731768,nan
tt14941222,"$5,423,104"
tt11589366,nan
tt12519030,"€3,400,000 (estimated)"
tt14922584,nan
tt11594766,nan
tt10768264,nan
tt11815154,"A$3,000 (estimated)"
tt12702664,nan
tt13268402,nan
tt14908668,"A$200,000 (estimated)"
tt10404944,"$13,000,000 (estimated)"
tt11454278,nan
tt7041730,nan
tt14023256,nan
tt15085784,nan
tt14974190,"$35,000 (estimated)"
tt11305914,nan
tt12881516,nan
tt14336036,"$430,418"
tt13484824,"A$15,000 (estimated)"
tt14545194,"A$15,000 (estimated)"
tt11501984,"A$8,000 (estimated)"
tt10392128,"$644,570"
tt10923116,nan
tt9030940,nan
tt14045160,nan
tt13847902,"A$10,000 (estimated)"
tt15085794,nan
tt15100676,nan
tt7640818,"CA$500,000 (estimated)"
tt15066328,nan
tt13098300,nan
tt13056304,nan
tt11010044,nan
tt14538850,nan
tt13724054,nan
tt14030266,nan
tt11905922,"$13,325"
tt14250912,nan
tt10062556,nan
tt10973118,nan
tt11376010,"$1,222,060"
tt12969826,nan
tt9804272,nan
tt10295212,nan
tt14494898,nan
tt8049994,"$1,438,736"
tt2452150,"$17,473,464"
tt9174358,nan
tt6246322,"$21,744,282"
tt12847022,"$1,642,148"
tt5740246,"$1,200,000 (estimated)"
tt6264654,"$65,755,180"
tt12664618,"$13,931,099"
tt12783454,nan
tt15085802,nan
tt11832046,"$17,456,280"
tt7682204,nan
tt13544716,"$18,816,163"
tt8371236,nan
tt10832274,"$94,771"
tt13360586,nan
tt11307724,"$24,823"
tt9598214,"$3,050"
tt6981064,nan
tt7972012,"$9,716,222"
tt10691162,nan
tt10230994,nan
tt2094955,nan
tt15036416,nan
tt14730740,"$300,000 (estimated)"
tt9376612,nan
tt6338498,nan
tt10366460,nan
tt8165192,"$218,884"
tt12808182,nan
tt12448082,"$120,700"
tt10696896,"$13,786,970"
tt10772662,nan
tt13392012,"$54,482"
tt9243804,"$16,263,492"
tt12929990,nan
tt14315566,nan
tt0870154,"$200,000,000 (estimated)"
tt6334354,"$185,000,000 (estimated)"
tt14810692,"$216,299"
tt13086164,"$1,301,515"
tt10895576,nan
tt14402926,nan
tt15106892,nan
tt4651466,"$1,405,488"
tt11656220,"$15,000,000 (estimated)"
tt11204094,nan
tt14961160,nan
tt13412252,nan
tt9373688,"$29,183"
tt11206172,"$84,709"
tt6402468,"€15,000,000 (estimated)"
tt1893273,"$1,386,186"
tt14731254,nan
tt15004156,nan
tt8404256,"$88,000,000 (estimated)"
tt10342228,"$2,500,000 (estimated)"
tt12851396,nan
tt10954652,"$45,672,270"
tt10039524,$879
tt9844322,"$188,000"
tt14880258,nan
tt12528166,"$85,380"
tt11286640,"$144,962"
tt11003218,"$3,112,518"
tt13497908,nan
tt13606090,nan
tt8368408,"$30,000,000 (estimated)"
tt10228134,"$206,308"
tt10886670,"$3,098,685"
tt9731534,"$3,961,578"
tt9701942,nan
tt13446168,"$7,334,263"
tt12877640,"€3,000,000 (estimated)"
tt11991786,nan
tt10537660,"$1,372,247"
tt10944760,"€5,700,000 (estimated)"
tt6823148,"$2,652,725"
tt13067004,nan
tt11923304,"$35,031,010"
tt13827606,"€1,750,000 (estimated)"
tt9701940,nan
tt3554046,"$150,000,000 (estimated)"
tt13150080,"€4,500,000 (estimated)"
tt14957270,nan
tt3480822,"$200,000,000 (estimated)"
tt6217926,"$15,500,000 (estimated)"
tt10097362,"$1,474,579"
tt11422728,"$2,311,058"
tt11027830,nan
tt14781176,nan
tt11804152,"$23,434"
tt9844522,"$15,000,000 (estimated)"
tt6932874,"$56,636,740"
tt1697800,"$41,054"
tt5439812,"$4,830,298"
tt10327252,"$18,000,000 (estimated)"
tt6733874,nan
tt9777666,"$200,000,000 (estimated)"
tt14445134,nan
tt6566576,nan
tt14549712,nan
tt14784858,nan
tt11777920,"$1,096,081"
tt9288692,"$575,783"
tt10290510,"$3,788,850"
tt11525644,nan
tt3758814,"$3,806,037"
tt9203694,"$10,000,000 (estimated)"
tt14804080,nan
tt8231668,nan
tt13323092,nan
tt10945254,"$1,096"
tt14549558,nan
tt14324650,nan
tt14851194,nan
tt4733624,nan
tt10661848,"£7,995,000 (estimated)"
tt10096842,nan
tt12801262,"$26,658,646"
tt10032342,"$197,251"
tt11224358,nan
tt14585902,nan
tt14684160,nan
tt8385148,"$38,014,727"
tt13067292,"$887,457"
tt6964940,nan
tt7524444,"$2,893,660"
tt10329614,"$90,050"
tt13296032,nan
tt8338076,"$1,926,706"
tt13288678,"$18,731,309"
tt11362866,"$12,020"
tt1321510,"$29,879,041"
tt4876134,"$15,000,000 (estimated)"
tt6654210,nan
tt14495434,nan
tt10418662,"$154,608"
tt11892916,"€5,000,000 (estimated)"
tt11991748,"$21,318,560"
tt5013984,"$22,517"
tt14809340,nan
tt11658120,nan
tt14539726,nan
tt14623808,nan
tt14599938,nan
tt14611368,nan
tt13032716,nan
tt15006512,nan
tt14599924,nan
tt14074470,nan
tt14586752,nan
tt11790674,nan
tt13912496,nan
tt14475526,nan
tt14475518,nan
tt14475492,nan
tt14475504,nan
tt7050946,"$14,000"
tt11337862,nan
tt10451312,"$2,686"
tt14540480,nan
tt13863334,"$55,718"
tt7084386,nan
tt14025788,nan
tt3228774,"$85,969,326"
tt12939812,nan
tt5752192,"$698,361"
tt13446126,nan
tt7069210,"$65,565,074"
tt14264844,nan
tt8332922,"$160,072,261"
tt9883996,"$2,913,328"
tt11084896,"$17,635,215"
tt7737640,"$187,443"
tt5433138,"$172,619,175"
tt11213600,nan
tt12529748,nan
tt6111574,nan
tt7826276,"$1,744,740"
tt0993840,"$70,000,000 (estimated)"
tt9013182,nan
tt14317062,nan
tt14217100,nan
tt8760280,"$2,753,985"
tt10342730,"$40,000,000 (estimated)"
tt10888594,"$1,900,312"
tt6341832,nan
tt8435002,"$627,225"
tt4779326,"$383,234"
tt10944596,"$2,807,494"
tt7397098,"$21,729"
tt3215824,"$7,347,103"
tt14573402,nan
tt14499632,nan
tt4136456,"$21,356"
tt7587604,"$829,947"
tt0499097,nan
tt12771540,nan
tt10962368,nan
tt7329642,"$359,028"
tt14371060,nan
tt13804084,nan
tt14354838,nan
tt8740898,nan
tt4479380,"$146,329"
tt11809034,"$36,964,978"
tt9543092,nan
tt13382698,"$29,262"
tt12546872,nan
tt7979580,nan
tt11083552,"$27,466,489"
tt14167424,nan
tt12093860,"$95,659,979"
tt13454122,nan
tt14091818,nan
tt14033502,"€930,000 (estimated)"
tt11908982,"$27,588"
tt5932368,"$537,108"
tt11014390,"$3,131"
tt14164234,nan
tt12844834,"$295,327"
tt10648714,"$5,538,706"
tt5693182,"$59,748"
tt14318430,nan
tt14330162,nan
tt13316722,"$6,778,823"
tt14422106,nan
tt7260052,nan
tt13472984,nan
tt10121392,nan
tt14366176,"$276,764"
tt10329022,"$3,162,778"
tt9664108,"$3,149,935"
tt0293429,"$42,201,013"
tt12816634,nan
tt12352250,nan
tt14317168,nan
tt14423802,nan
tt12154638,nan
tt11317142,"$156,552"
tt10307724,nan
tt14404280,nan
tt7601480,"RUR 640,000,000 (estimated)"
tt14396196,nan
tt9419056,"$15,530,440"
tt8521718,"$989,895"
tt13304948,nan
tt3797512,"$27,138"
tt8865104,nan
tt11333854,nan
tt9684220,nan
tt11388278,nan
tt11263022,"$963,938"
tt11828648,nan
tt8376234,"$40,336,536"
tt12013758,"€2,000,000 (estimated)"
tt5034838,"$200,000,000 (estimated)"
tt14152756,nan
tt12363832,nan
tt11651946,nan
tt9849004,nan
tt7897330,nan
tt14111726,nan
tt12361974,nan
tt7888964,"$16,000,000 (estimated)"
tt13932162,"$5,631,112"
tt8179470,nan
tt9344454,nan
tt13107582,nan
tt8368512,"$6,613,432"
tt4061620,nan
tt14111734,nan
tt13415790,nan
tt11762434,"$1,020,003"
tt11332500,nan
tt8521876,nan
tt13045890,nan
tt8110246,"$10,637"
tt14219522,"$74,813 (estimated)"
tt2458948,"$92,246,218"
tt11734264,"€6,000,000 (estimated)"
tt9382172,"$5,033"
tt6802400,nan
tt10896398,"$4,178,620"
tt13613662,nan
tt6473982,nan
tt5109280,"$54,723,032"
tt9742794,"$1,071,872"
tt6432466,nan
tt14062858,"$899,457 (estimated)"
tt8399720,"$95,442"
tt13269536,nan
tt9130508,nan
tt14006298,nan
tt8907992,nan
tt11459366,$139
tt9731682,"$404,738"
tt13651858,"$95,643"
tt11698630,nan
tt5122626,"$21,507"
tt10722406,"$1,752,728"
tt13061914,"$346,899"
tt2076822,"$125,000,000 (estimated)"
tt13842562,nan
tt13031460,"$250,000 (estimated)"
tt13676256,nan
tt9893250,"$1,288,436"
tt9585676,"$13,472"
tt7638348,"$45,000,000 (estimated)"
tt11694776,"MX$26,029,582 (estimated)"
tt13597388,nan
tt7937254,"$38,449"
tt8521736,nan
tt13646412,nan
tt13323128,nan
tt8114980,"$5,500,000 (estimated)"
tt13885628,nan
tt9685342,"$160,013"
tt9784798,"$5,446,607"
tt11828644,nan
tt10279362,"$741,895"
tt10370822,"$116,630,000 (estimated)"
