imdb_id,budget,domestic_revenue,internat_revenue,total_revenue
tt10731768,,,,
tt14941222,,,5423104,5423104
tt11589366,,,,
tt12519030,,,,
tt14922584,,,,
tt11594766,,,,
tt10768264,,,,
tt11815154,,,,
tt12702664,,,,
tt13268402,,,,
tt14908668,,,,
tt10404944,,,2745966,2745966
tt11454278,,,,
tt7041730,,,,
tt14023256,,,,
tt15085784,,,,
tt14974190,,,,
tt11305914,,,,
tt12881516,,,,
tt14336036,,,430418,430418
tt13484824,,,,
tt14545194,,,,
tt11501984,,,,
tt10392128,,,644570,644570
tt10923116,,,,
tt9030940,,,,
tt14045160,,,,
tt13847902,,,,
tt15085794,,,,
tt15100676,,,,
tt7640818,,,,
tt15066328,,,,
tt13098300,,,,
tt13056304,,,,
tt11010044,,,,
tt14538850,,,,
tt13724054,,,,
tt14030266,,,,
tt11905922,,13325,1221,14546
tt14250912,,,,
tt10062556,,,,
tt10973118,,,,
tt11376010,,,1222060,1222060
tt12969826,,,,
tt9804272,,,,
tt10295212,,,,
tt14494898,,,,
tt8049994,,,1438736,1438736
tt2452150,,15113605,3371816,18485421
tt9174358,,,,
tt6246322,,21336617,7500000,28836617
tt12847022,,,1642148,1642148
tt5740246,,,,
tt6264654,,64193659,53100000,117293659
tt12664618,,,13931099,13931099
tt12783454,,,,
tt15085802,,,,
tt11832046,,16580335,24788593,41368928
tt7682204,,,,
tt13544716,,,18816163,18816163
tt8371236,,,,
tt10832274,,88686,,88686
tt13360586,,,,
tt11307724,,24547,,24547
tt9598214,,3050,,3050
tt6981064,,,,
tt7972012,,,9716222,9716222
tt10691162,,,,
tt10230994,,,,
tt2094955,,,,
tt15036416,,,,
tt14730740,,,,
tt9376612,,,,
tt6338498,,,,
tt10366460,,,,
tt8165192,,218884,146695880,146914764
tt12808182,,,,
tt12448082,,,120700,120700
tt10696896,,13742035,1939862,15681897
tt10772662,,,,
tt13392012,,40683,78947,119630
tt9243804,,15944682,1609059,17553741
tt12929990,,,,
tt14315566,,,,
tt0870154,,94528580,81200000,175728580
tt6334354,185000000,49261901,92100000,141361901
tt14810692,,216299,22767766,22984065
tt13086164,,,1301515,1301515
tt10895576,,,,
tt14402926,,,,
tt15106892,,,,
tt4651466,,1405488,,1405488
tt11656220,,,63346,63346
tt11204094,,,,
tt14961160,,,,
tt13412252,,,,
tt9373688,,29183,,29183
tt11206172,,,84709,84709
tt6402468,,,401834,401834
tt1893273,,,1386186,1386186
tt14731254,,,,
tt15004156,,,,
tt8404256,,28235900,8700000,36935900
tt10342228,,,,
tt12851396,,,,
tt10954652,,45577720,34941000,80518720
tt10039524,,,879,879
tt9844322,,188000,18814036,19002036
tt14880258,,,,
tt12528166,,,85380,85380
tt11286640,,,144962,144962
tt11003218,,3093038,60781,3153819
tt13497908,,,,
tt13606090,,,,
tt8368408,,,813916,813916
tt10228134,,,206308,206308
tt10886670,,,3098685,3098685
tt9731534,,3760390,663371,4423761
tt9701942,,,,
tt13446168,,,7334263,7334263
tt12877640,,,,
tt11991786,,,,
tt10537660,,,1372247,1372247
tt10944760,,,2147962,2147962
tt6823148,,,2652725,2652725
tt13067004,,,,
tt11923304,,,35031010,35031010
tt13827606,,,,
tt9701940,,,,
tt3554046,,69220604,79900000,149120604
tt13150080,,,8334863,8334863
tt14957270,,,,
tt3480822,,180554454,189600000,370154454
tt6217926,,,2727662,2727662
tt10097362,,,1474579,1474579
tt11422728,,2308084,484383,2792467
tt11027830,,,,
tt14781176,,,,
tt11804152,,,23434,23434
tt9844522,,25188958,17200000,42388958
tt6932874,,56609090,35926000,92535090
tt1697800,,,41054,41054
tt5439812,,4819728,68907,4888635
tt10327252,,44387630,29509000,73896630
tt6733874,,,,
tt9777666,,,,
tt14445134,,,,
tt6566576,,,,
tt14549712,,,,
tt14784858,,,,
tt11777920,,,1096081,1096081
tt9288692,,575783,365288,941071
tt10290510,,,3788850,3788850
tt11525644,,,,
tt3758814,,,3806037,3806037
tt9203694,,,,
tt14804080,,,,
tt8231668,,,,
tt13323092,,,,
tt10945254,,1096,3788334,3789430
tt14549558,,,,
tt14324650,,,,
tt14851194,,,,
tt4733624,,,,
tt10661848,,,,
tt10096842,,,,
tt12801262,,,26685614,26685614
tt10032342,,,197251,197251
tt11224358,,,,
tt14585902,,,,
tt14684160,,,,
tt8385148,,38014727,28862428,66877155
tt13067292,,,887457,887457
tt6964940,,,,
tt7524444,,2893660,,2893660
tt10329614,,90050,127613,217663
tt13296032,,,,
tt8338076,,1926706,82896,2009602
tt13288678,,,18731309,18731309
tt11362866,,,12020,12020
tt1321510,,29879041,14000000,43879041
tt4876134,,,909041,909041
tt6654210,,,,
tt14495434,,,,
tt10418662,,,154608,154608
tt11892916,,,,
tt11991748,,,21318560,21318560
tt5013984,,22517,,22517
tt14809340,,,,
tt11658120,,,,
tt14539726,,,,
tt14623808,,,,
tt14599938,,,,
tt14611368,,,,
tt13032716,,,,
tt15006512,,,,
tt14599924,,,,
tt14074470,,,,
tt14586752,,,,
tt11790674,,,,
tt13912496,,,,
tt14475526,,,,
tt14475518,,,,
tt14475492,,,,
tt14475504,,,,
tt7050946,,14000,1997012,2011012
tt11337862,,,,
tt10451312,,,2686,2686
tt14540480,,,,
tt13863334,,,55718,55718
tt7084386,,,,
tt14025788,,,,
tt3228774,,85961570,136100000,222061570
tt12939812,,,,
tt5752192,,,698361,698361
tt13446126,,,,
tt7069210,,65556488,135800000,201356488
tt14264844,,,,
tt8332922,,160060168,136300000,296360168
tt9883996,,2913328,3642388,6555716
tt11084896,,17635215,25001000,42636215
tt7737640,,,187443,187443
tt5433138,,172598165,524158000,696756165
tt11213600,,,,
tt12529748,,,,
tt6111574,,,,
tt7826276,,1744740,111990,1856730
tt0993840,,,,
tt9013182,,,,
tt14317062,,,,
tt14217100,,,,
tt8760280,,2753985,572900,3326885
tt10342730,,23216862,15340465,38557327
tt10888594,,,1900312,1900312
tt6341832,,,,
tt8435002,,,627225,627225
tt4779326,,383234,,383234
tt10944596,,2807494,,2807494
tt7397098,,,21729,21729
tt3215824,,7347103,16040379,23387482
tt14573402,,,,
tt14499632,,,,
tt4136456,,,21356,21356
tt7587604,,,829947,829947
tt0499097,,,,
tt12771540,,,,
tt10962368,,,,
tt7329642,,,359028,359028
tt14371060,,,,
tt13804084,,,,
tt14354838,,,,
tt8740898,,,,
tt4479380,,146329,52103,198432
tt11809034,,,36964978,36964978
tt9543092,,,,
tt13382698,,29262,,29262
tt12546872,,,,
tt7979580,,,,
tt11083552,,27466489,76500000,103966489
tt14167424,,,,
tt12093860,,,95659979,95659979
tt13454122,,,,
tt14091818,,,,
tt14033502,,,272091,272091
tt11908982,,27588,20180,47768
tt5932368,,,537108,537108
tt11014390,,,3131,3131
tt14164234,,,,
tt12844834,,,295327,295327
tt10648714,,,5538706,5538706
tt5693182,,,59748,59748
tt14318430,,,,
tt14330162,,,,
tt13316722,,,6778823,6778823
tt14422106,,,,
tt7260052,,,,
tt13472984,,,,
tt10121392,,,,
tt14366176,,,276764,276764
tt10329022,,,3162778,3162778
tt9664108,,3149935,1148249,4298184
tt0293429,,42201013,41400000,83601013
tt12816634,,,,
tt12352250,,,,
tt14317168,,,,
tt14423802,,,,
tt12154638,,,,
tt11317142,,156552,71976,228528
tt10307724,,,,
tt14404280,,,,
tt7601480,,,4493306,4493306
tt14396196,,,,
tt9419056,,15530440,15300000,30830440
tt8521718,,,989895,989895
tt13304948,,,,
tt3797512,,,18790,18790
tt8865104,,,,
tt11333854,,,,
tt9684220,,,,
tt11388278,,,,
tt11263022,,,963938,963938
tt11828648,,,,
tt8376234,,40336536,113400000,153736536
tt12013758,,,,
tt5034838,,100563133,367300000,467863133
tt14152756,,,,
tt12363832,,,,
tt11651946,,,,
tt9849004,,,,
tt7897330,,,,
tt14111726,,,,
tt12361974,,,,
tt7888964,16000000,27268035,28137000,55405035
tt13932162,,,5631112,5631112
tt8179470,,,,
tt9344454,,,,
tt13107582,,,,
tt8368512,,6613432,14591926,21205358
tt4061620,,,,
tt14111734,,,,
tt13415790,,,,
tt11762434,,,1020003,1020003
tt11332500,,,,
tt8521876,,,,
tt13045890,,,,
tt8110246,,,10637,10637
tt14219522,,,,
tt2458948,,,92246218,92246218
tt11734264,,,,
tt9382172,,,5033,5033
tt6802400,,,,
tt10896398,,4178620,12403,4191023
tt13613662,,,,
tt6473982,,,,
tt5109280,,54723032,67947653,122670685
tt9742794,,,1071872,1071872
tt6432466,,,,
tt14062858,,,,
tt8399720,,,95442,95442
tt13269536,,,,
tt9130508,,,,
tt14006298,,,,
tt8907992,,,,
tt11459366,,,139,139
tt9731682,,404738,694688,1099426
tt13651858,,95643,4680,100323
tt11698630,,,,
tt5122626,,,21507,21507
tt10722406,,,1752728,1752728
tt13061914,,,346899,346899
tt2076822,,13287908,12135011,25422919
tt13842562,,,,
tt13031460,,,,
tt13676256,,,,
tt9893250,,,1288436,1288436
tt9585676,,,13472,13472
tt7638348,,,1751887,1751887
tt11694776,,,,
tt13597388,,,,
tt7937254,,,38449,38449
tt8521736,,,,
tt13646412,,,,
tt13323128,,,,
tt8114980,,418286,12734,431020
tt13885628,,,,
tt9685342,,160013,149963307,150123320
tt9784798,,5446607,1348748,6795355
tt11828644,,,,
tt10279362,,741895,814868,1556763
tt10370822,,,686257563,686257563
tt6872792,,,,
tt10265034,,2577830,584851,3162681
tt10037014,,,24565,24565
tt11080108,,,,
tt10676012,,,,
tt13846542,,,,
tt12057168,,,519013,519013
tt11307814,,,,
tt1361336,,46041123,84300000,130341123
tt6570098,,,4558161,4558161
tt4761112,,836536,6581473,7418009
tt7866320,,,,
tt10004108,,,,
tt13269670,,,56088478,56088478
tt11428926,,,,
tt12673718,,,,
tt13787118,,,,
tt10333426,,,,
tt12886410,,,421202,421202
tt13209832,,,,
